#gs	avg_shap	gid	gs2
NBPF4	0.005969730992129889	148545	NBPF4
EPHB1	0.0064068668282767855	2047	EPHB1
HTR5A	0.0012618833516648015	3361	HTR5A
PCOLCE2	0.055725648367104315	26577	PCOLCE2
MED6	0.009584163063696173	10001	MED6
EIF4EBP2	0.007218601669357116	1979	EIF4EBP2
TRAF1	0.009992568605175434	7185	TRAF1
PIP5K1A	0.007298228281559617	8394	PIP5K1A
IRGM	0.009500621333132174	345611	IRGM
PCMT1	0.004266746256453105	5110	PCMT1
CD1A	0.002633301116172134	909	CD1A
TMEM203	0.008495617481165339	94107	TMEM203
TMEM168	0.01833137042198641	64418	TMEM168
IQANK1	0.01853471445207003	642574	IQANK1
TGFBI	0.004688009155706383	7045	TGFBI
PHF20L1	0.0028981184515923836	51105	PHF20L1
MND1	0.0015029619061325734	84057	MND1
RSPRY1	0.0024574710653994403	89970	RSPRY1
PIK3IP1	0.008435960539992128	113791	PIK3IP1
FGB	0.004438849607356804	2244	FGB
COA8	0.006198151031810433	84334	COA8
LCN10	0.0017343170732010897	414332	LCN10
YWHAB	0.007772587052480801	7529	YWHAB
ACSS3	0.07284619764496784	79611	ACSS3
ZCCHC7	0.02001395732982065	84186	ZCCHC7
ZNF683	0.0018585490729349588	257101	ZNF683
FN1	0.03341618786120161	2335	FN1
ZNF777	0.020610148567469146	27153	ZNF777
HNRNPA2B1	0.022054080635450314	3181	HNRNPA2B1
TMEM191B	0.010906170600106234	728229	TMEM191B
CCDC88C	0.039920002962049055	440193	CCDC88C
SCN11A	0.004633301969927469	11280	SCN11A
CD5	0.018996532735576614	921	CD5
NQO2	0.004464173380921591	4835	NQO2
ISOC2	0.001665221950627042	79763	ISOC2
XAB2	0.0015276285758667634	56949	XAB2
PPP3R2	5.2121269170069654e-05	5535	PPP3R2
NXF2B	0.0017771235772044577	728343	NXF2B
GATM	0.008601355811856223	2628	GATM
SPANXN3	0.0008319366980226493	139067	SPANXN3
TEDDM1	6.817800580467843e-05	127670	TEDDM1
FNIP1	0.0018400575987706053	96459	FNIP1
ABCA1	0.011142612738644168	19	ABCA1
NFIL3	0.013834464713241842	4783	NFIL3
SLFN14	0.0006328146430928182	342618	SLFN14
UMAD1	0.0055065400639156175	729852	UMAD1
C10orf105	0.0005477403037969482	414152	C10orf105
H4C2	0.0014779227170124665	8366	H4C2
ADAMTS9	0.02181510035005383	56999	ADAMTS9
CD48	0.025991439882916956	962	CD48
IRF8	0.015211540370949335	3394	IRF8
MOV10L1	0.004409616615493033	54456	MOV10L1
TXK	0.009976277353445997	7294	TXK
PTGIR	0.005586972448986294	5739	PTGIR
PTPN20	0.0054640553848016304	26095	PTPN20
CLVS2	0.0006541289693598938	134829	CLVS2
OR2F1	2.919470430059809e-05	26211	OR2F1
PARD3B	0.005415096927934471	117583	PARD3B
UPK3BL2	0.008957066903275546	107983993	UPK3BL2
ATP5F1B	0.001550229807581152	506	ATP5F1B
SERPINA7	0.0002698686699153064	6906	SERPINA7
FUT6	0.005139610996385933	2528	FUT6
SPATA1	0.001804312710010977	100505741	SPATA1
PPP1R3C	0.00777227050536357	5507	PPP1R3C
PPP4R1	0.0016682783254759164	9989	PPP4R1
TCF21	0.0018713099879979632	6943	TCF21
ATOSB	0.0015693616571052797	80256	ATOSB
HMG20B	0.004351962093025541	10362	HMG20B
ZMYND15	0.0032242567454325616	84225	ZMYND15
GNPTAB	0.0011863350793292332	79158	GNPTAB
SRPK2	0.0028208350160479996	6733	SRPK2
PITRM1	0.0023729792180760224	10531	PITRM1
SERINC3	0.00365357118445828	10955	SERINC3
GLYCTK	0.007876733566112331	132158	GLYCTK
PGAM5	0.005571783749678091	192111	PGAM5
TCIRG1	0.013634972046823714	10312	TCIRG1
OR2S2	0.0002808761209866595	56656	OR2S2
RHBG	0.004317952093282959	57127	RHBG
CDYL	0.010214631412154337	9425	CDYL
CFAP107	0.0005918243219237743	93190	CFAP107
KLHL1	0.00048123687918255945	57626	KLHL1
ASB16	0.0024713249840726584	92591	ASB16
CRACR2B	0.02234768987645943	283229	CRACR2B
ZNF438	0.01117442674852739	220929	ZNF438
ZDHHC18	0.0039790894891062615	84243	ZDHHC18
DCAF4L2	0.002127326869279221	138009	DCAF4L2
ASB8	0.004275550343767449	140461	ASB8
CNPY4	0.011414925313701063	245812	CNPY4
ACSM2A	0.0009955972522416045	123876	ACSM2A
HELT	0.0005761512689791781	391723	HELT
FAHD1	0.002566270845106703	81889	FAHD1
GPR119	0.0006940221423734186	139760	GPR119
FCRL3	0.0038811988461253566	115352	FCRL3
SYNM	0.003973953873711064	23336	SYNM
SERPINB13	0.0021746543195415844	5275	SERPINB13
UQCC5	0.001658649438089398	440957	UQCC5
TEX19	0.0009985682347261006	400629	TEX19
TSPYL6	0.00017184489496692852	388951	TSPYL6
HIP1R	0.00355307406751219	9026	HIP1R
UNC79	0.0010854169400541026	57578	UNC79
OVCH2	0.0006441513852896844	341277	OVCH2
NHP2	0.001463603168540511	55651	NHP2
SUSD2	0.007447627689443834	56241	SUSD2
CDKN2B	0.004486567225480497	1030	CDKN2B
KIF27	0.001634692332802137	55582	KIF27
NANOGNB	6.53962498252186e-05	360030	NANOGNB
TRIM61	0.0011849450791616206	391712	TRIM61
OR6P1	6.578604884912965e-07	128366	OR6P1
UNC45B	0.00022232834490902524	146862	UNC45B
C9orf85	0.0010256020210089847	138241	C9orf85
AIFM3	0.0017342525255727016	150209	AIFM3
MSMO1	0.002400762593627151	6307	MSMO1
ZDHHC15	0.0016605501044288512	158866	ZDHHC15
HTN1	0.0010208111302677581	3346	HTN1
KIF12	0.005968687254896603	113220	KIF12
PDE4C	0.0009109101727617114	5143	PDE4C
MTLN	0.0017450806483569668	205251	MTLN
E2F7	0.003483283894845992	144455	E2F7
PLSCR1	0.006110827109868137	5359	PLSCR1
NDUFA13	0.0015313948449073357	51079	NDUFA13
TMEM263	0.0012388094716718225	90488	TMEM263
BSN	0.0021447090327504637	8927	BSN
GAGE13	0.0018518673356992866	645051	GAGE13
SOCS5	0.005705829639374602	9655	SOCS5
STAT5A	0.0013708575277091477	6776	STAT5A
CTR9	0.001937644067584781	9646	CTR9
WDR13	0.0012611207891659053	64743	WDR13
CD4	0.0036426971206441915	920	CD4
MAP3K7	0.0023107814273460297	6885	MAP3K7
EMILIN3	0.004946031470603482	90187	EMILIN3
OR8B4	3.024922330385158e-05	283162	OR8B4
MKRN2OS	0.0012847363834076937	100129480	MKRN2OS
CST3	0.023085836630688	1471	CST3
FAIM2	0.0017897278432454729	23017	FAIM2
ALPL	0.0034384555468436957	249	ALPL
TMEM95	2.9703567779334636e-05	339168	TMEM95
GLRX3	0.0008546945044405167	10539	GLRX3
SNX24	0.0027944298056129823	28966	SNX24
PSMC3IP	0.004052360972749655	29893	PSMC3IP
CHAD	0.0011806103085988343	1101	CHAD
OXSR1	0.0013942648701897864	9943	OXSR1
SMAP1	0.0020074031118435015	60682	SMAP1
PIK3R3	0.01129761905337239	8503	PIK3R3
HMGCS1	0.007148696531558944	3157	HMGCS1
THAP1	0.0014045438907059173	55145	THAP1
NR4A2	0.004149054670709974	4929	NR4A2
CHCHD5	0.003343688921014574	84269	CHCHD5
KRT4	0.008305146360179056	3851	KRT4
HS6ST3	0.0023111382905236888	266722	HS6ST3
PKN2	0.006445106448759049	5586	PKN2
ID1	0.015523823234622695	3397	ID1
SECISBP2L	0.0037164252039248637	9728	SECISBP2L
SMYD2	0.008619708720595533	56950	SMYD2
ASAP2	0.005091579451961657	8853	ASAP2
SPATA16	0.00023573736092038965	83893	SPATA16
KCNK5	0.0031674611645714414	8645	KCNK5
CYTH4	0.002592600388582753	27128	CYTH4
UROD	0.004269187599753986	7389	UROD
HMGCLL1	0.002425929052683125	54511	HMGCLL1
PHB1	0.0032990607371188225	5245	PHB1
BFAR	0.0011654714571817941	51283	BFAR
FRMD5	0.006591858221212551	84978	FRMD5
SMIM30	0.004958837154458715	401397	SMIM30
TAS2R20	0.0011653181029409223	259295	TAS2R20
NRAS	0.005224980907117371	4893	NRAS
S1PR2	0.00411934912276344	9294	S1PR2
LIN52	0.0020798908742720805	91750	LIN52
OR4D5	4.1855250435009046e-05	219875	OR4D5
EBAG9	0.005789465254868076	9166	EBAG9
ANKRD33B	0.004739564543589613	651746	ANKRD33B
KLHL15	0.0022733804070679126	80311	KLHL15
OR5P2	0.00013082000460019002	120065	OR5P2
WSCD2	0.002832906469239597	9671	WSCD2
ZNF709	0.0013913586866100007	163051	ZNF709
NRDE2	0.0013199772241396087	55051	NRDE2
FCGRT	0.002632542949853308	2217	FCGRT
C11orf54	0.001960143118135344	28970	C11orf54
HTR3A	0.0008691450895437842	3359	HTR3A
ATG3	0.0016430362314352577	64422	ATG3
KIF9	0.0014098688197670258	64147	KIF9
KIFC1	0.0011883400123208529	3833	KIFC1
GRM3	0.00016390287946729798	2913	GRM3
CEP85L	0.004133115770365533	387119	CEP85L
SORD	0.0038275792993025244	6652	SORD
TNFRSF10D	0.0041174527579065775	8793	TNFRSF10D
PPIAL4E	4.385456717088764e-05	730262	PPIAL4E
ITIH4	0.0025441526910663227	3700	ITIH4
RGN	0.0019173912786549954	9104	RGN
CNN1	0.007062203578897198	1264	CNN1
PIM2	0.005065494111135934	11040	PIM2
JUND	0.0036557937566182286	3727	JUND
CILP	0.001069123732707056	8483	CILP
FBXO40	0.0001869699466785708	51725	FBXO40
ZNHIT2	0.007607137675198735	741	ZNHIT2
PCK1	0.0028077645527478435	5105	PCK1
ATXN2	0.0014765971213736902	6311	ATXN2
TIGD6	0.0010860700985958344	81789	TIGD6
TIMM10	0.0033125352602609353	26519	TIMM10
H3-7	0.021057735988968134	440686	H3-7
U2AF2	0.00200725862360117	11338	U2AF2
MT3	0.0032457511005917154	4504	MT3
RBMX2	0.00679518366348286	51634	RBMX2
SERPINC1	0.0013253790214524592	462	SERPINC1
AKIRIN2	0.00944785121963274	55122	AKIRIN2
HAS3	0.013976519528647603	3038	HAS3
NRARP	0.006452276785074786	441478	NRARP
MYO1H	0.0003169427173042448	283446	MYO1H
TUFM	0.0032079794041513974	7284	TUFM
C14orf119	0.008318368857854015	55017	C14orf119
ARVCF	0.00616247936770873	421	ARVCF
CRTAM	0.0013219258650188591	56253	CRTAM
CCDC6	0.009671589736029404	8030	CCDC6
CREB5	0.01979069305631094	9586	CREB5
EPHB4	0.010563398174219895	2050	EPHB4
NLRP14	0.00037366971624473694	338323	NLRP14
COG5	0.0030075762114474833	10466	COG5
BCL6	0.008085110277327948	604	BCL6
CFAP161	0.0015102796481438654	161502	CFAP161
TRPC7	0.0006876760487566197	57113	TRPC7
TRIM16L	0.025458964689010738	147166	TRIM16L
CLEC4E	0.00265697829862035	26253	CLEC4E
DUSP5	0.006880138640261017	1847	DUSP5
ENTPD6	0.014198996093269392	955	ENTPD6
SIGLEC9	0.0034859654959218393	27180	SIGLEC9
ZNF451	0.007780661789412784	26036	ZNF451
UFL1	0.004000076091665816	23376	UFL1
RCBTB2	0.004354740540470918	1102	RCBTB2
PLBD2	0.008371966671837594	196463	PLBD2
UNKL	0.010430156644542244	64718	UNKL
ADAD1	0.00033887082193017346	132612	ADAD1
TRPV3	0.006292927322989043	162514	TRPV3
HSD17B6	0.012212321827893101	8630	HSD17B6
OR4F21	0.0008967330070920046	441308	OR4F21
TP63	0.01605237738976565	8626	TP63
CLDN5	0.0016216214021054789	7122	CLDN5
LHCGR	0.0001718928981960111	3973	LHCGR
RPUSD3	0.0023029324020387943	285367	RPUSD3
MRTFB	0.0033722089453308802	57496	MRTFB
SHISA2	0.008950622935412333	387914	SHISA2
PMF1	0.0019561121964888828	11243	PMF1
VARS1	0.002239516281170604	7407	VARS1
LIMS2	0.009097637320893514	55679	LIMS2
GOLT1A	0.00795510436944768	127845	GOLT1A
OR1E1	0.0003630747654709862	8387	OR1E1
DLX5	0.0021101262733332943	1749	DLX5
KRT39	0.0004431987268862044	390792	KRT39
ANGPTL4	0.002402777910807352	51129	ANGPTL4
FLG	0.0021664884095668763	2312	FLG
FRG2B	0.0006001185390759224	441581	FRG2B
ZNF512	0.007040104859345003	84450	ZNF512
CAMKK1	0.005587983487529301	84254	CAMKK1
TMEM123	0.0013950595651073092	114908	TMEM123
AZIN1	0.005717472655729535	51582	AZIN1
PIN4	0.001063508943679158	5303	PIN4
SNAPC2	0.00170999315725838	6618	SNAPC2
ZNHIT1	0.0012784168654480735	10467	ZNHIT1
MRPL37	0.0016515747306322893	51253	MRPL37
RAD9B	0.0022747164301001174	144715	RAD9B
ATP13A4	0.0007870552198806099	84239	ATP13A4
RBL2	0.0021474658451236337	5934	RBL2
LARP1	0.0017054433185738377	23367	LARP1
EME2	0.002112284847258217	197342	EME2
IQCB1	0.004030951867534904	9657	IQCB1
DLX1	0.012056854410682799	1745	DLX1
ARHGEF39	0.004931456685064966	84904	ARHGEF39
GALNT5	0.00758277687084931	11227	GALNT5
PEBP4	0.000805891643766529	157310	PEBP4
IL1R2	0.00794658090002144	7850	IL1R2
SPDYE17	0.0005191184389327147	102723849	SPDYE17
ELAVL3	0.003595728232514634	1995	ELAVL3
OXTR	0.007434092860438719	5021	OXTR
HSP90AB1	0.00435144595875974	3326	HSP90AB1
CSMD3	0.004778238082914184	114788	CSMD3
ZNF354B	0.018708763287030104	117608	ZNF354B
SPPL2A	0.011447569609148615	84888	SPPL2A
SYCN	6.097327692388797e-05	342898	SYCN
GRAPL	0.001276306311735661	400581	GRAPL
TSPAN4	0.018443757727956527	7106	TSPAN4
SENP1	0.01305959935822275	29843	SENP1
ZMYM2	0.004256281224275307	7750	ZMYM2
DMRTA2	0.008481370563499832	63950	DMRTA2
URGCP	0.011545277720975442	55665	URGCP
MROH7	0.0038355417764001113	374977	MROH7
CALR3	0.0006144352842280041	125972	CALR3
USP9X	0.001938430849891641	8239	USP9X
HMGA1	0.0027999188455258457	3159	HMGA1
TADA1	0.003150818658312924	117143	TADA1
DHDH	0.002650195056999154	27294	DHDH
SCNN1G	0.005032022019791206	6340	SCNN1G
XRCC1	0.004186007473985022	7515	XRCC1
IL1A	0.009668579158863818	3552	IL1A
EXTL2	0.0026262402925644065	2135	EXTL2
CYRIB	0.009180670419105225	51571	CYRIB
OSBPL6	0.007621395085197537	114880	OSBPL6
FBXW12	0.00051861050181003	285231	FBXW12
NDUFS6	0.0025094869256418297	4726	NDUFS6
STAT6	0.00875484286655656	6778	STAT6
SLC31A1	0.0033262575479952434	1317	SLC31A1
TENT5A	0.008789472044847292	55603	TENT5A
PEX10	0.006666989718776646	5192	PEX10
MCFD2	0.0058648962167348	90411	MCFD2
PICALM	0.0023321093066886907	8301	PICALM
IL17C	0.0017259726564068498	27189	IL17C
ERLIN2	0.0021345023649630463	11160	ERLIN2
SPANXN5	0.0006341831992434684	494197	SPANXN5
TMEM273	0.004422630529919561	170371	TMEM273
TNFAIP3	0.007769759629031533	7128	TNFAIP3
SSTR1	0.005151545688753977	6751	SSTR1
SLC43A1	0.008458329537160813	8501	SLC43A1
FOLR3	0.006818709801726908	2352	FOLR3
MGAT4B	0.005081013751635794	11282	MGAT4B
PGAM2	0.0033731721876727625	5224	PGAM2
VASH2	0.01096425461406409	79805	VASH2
HTR1A	0.0009326828794211361	3350	HTR1A
TADA3	0.0041654880556130335	10474	TADA3
SLCO1A2	0.010553632877216395	6579	SLCO1A2
TUBB4A	0.009137141827853586	10382	TUBB4A
CIDEB	0.013950861727184072	27141	CIDEB
ZNF280A	0.013418996882148688	129025	ZNF280A
TMEM26	0.0046227793710599575	219623	TMEM26
TSR1	0.010290561701462529	55720	TSR1
PLAC1	0.006408100961707832	10761	PLAC1
PTRH2	0.01583601752008991	51651	PTRH2
PRKX	0.026345403591814653	5613	PRKX
KRT9	0.004722309877353632	3857	KRT9
CCSER2	0.005915938531370969	54462	CCSER2
EIF5	0.005642533357719483	1983	EIF5
PNKD	0.009748235166714187	25953	PNKD
EVC2	0.033928181601462604	132884	EVC2
MFN2	0.002075319734479207	9927	MFN2
CLCA2	0.0077906527925017946	9635	CLCA2
OR56A3	0.003318018467029872	390083	OR56A3
ZNF891	0.0036954383262574626	101060200	ZNF891
GRAMD1A	0.005244990768990859	57655	GRAMD1A
FANCA	0.0034110633953095626	2175	FANCA
GSN	0.00728856290703868	2934	GSN
ACAP1	0.014034335457957117	9744	ACAP1
NHSL2	0.00333473888988624	340527	NHSL2
CDT1	0.007884340390735203	81620	CDT1
NLRP10	0.004708046985532255	338322	NLRP10
GNG8	0.002243497193770999	94235	GNG8
RAD18	0.0035091548449240006	56852	RAD18
SCIMP	0.00877853610136412	388325	SCIMP
NME4	0.06314563565993514	4833	NME4
PARK7	0.007238956995086462	11315	PARK7
BTK	0.018355316703002025	695	BTK
RXRA	0.0060250572017356155	6256	RXRA
GSS	0.00831213999369558	2937	GSS
FDPS	0.02000247421583464	2224	FDPS
EPDR1	0.009861229393252319	54749	EPDR1
SCML1	0.02330379631677069	6322	SCML1
MPHOSPH9	0.02172716983674061	10198	MPHOSPH9
VWA2	0.016472553561238897	340706	VWA2
CAAP1	0.004329076953582495	79886	CAAP1
YIF1A	0.001196859234680314	10897	YIF1A
LETMD1	0.0013773771226540587	25875	LETMD1
ENTPD7	0.001847212040513921	57089	ENTPD7
DOCK3	0.00447058392445925	1795	DOCK3
TAT	0.0003681770710984116	6898	TAT
SLC23A1	0.002370209444271789	9963	SLC23A1
SHOX	0.0009025846971135828	6473	SHOX
RBM19	0.002304113918069172	9904	RBM19
IFI27	0.02907085474233361	3429	IFI27
CADM1	0.009974138187023602	23705	CADM1
CPO	0.00026536099582599346	130749	CPO
SLITRK4	0.002181241957195202	139065	SLITRK4
CTNNA2	0.004523673232498211	1496	CTNNA2
CXCR5	0.0012297034445506424	643	CXCR5
TCEAL7	0.006316367251255114	56849	TCEAL7
SEMA4D	0.010977098386688535	10507	SEMA4D
SMARCA1	0.005585460912877061	6594	SMARCA1
SLC25A36	0.0013641883812673616	55186	SLC25A36
SPECC1	0.011582656020564101	92521	SPECC1
INS-IGF2	8.581127911112625e-06	723961	INS-IGF2
SNX21	0.014577543426531156	90203	SNX21
C1orf210	0.010856380111571856	149466	C1orf210
MEP1B	0.0008764882988742251	4225	MEP1B
GP6	0.0030853348232909904	51206	GP6
FUZ	0.018845167737440584	80199	FUZ
DHTKD1	0.005887226986703031	55526	DHTKD1
SLC10A2	0.00034356152162179094	6555	SLC10A2
TTC12	0.010410246925880854	54970	TTC12
TTC36	0.0025187250032074485	143941	TTC36
CSRP2	0.003096954634619872	1466	CSRP2
HARBI1	0.0016832617066193857	283254	HARBI1
ETDA	8.525978418031804e-05	101928677	ETDA
PRAMEF11	5.87446658846877e-05	440560	PRAMEF11
NDST1	0.006576504070154274	3340	NDST1
PPIAL4H	0.00012893939253005962	105371242	PPIAL4H
HAND1	0.0012538565198121374	9421	HAND1
MMUT	0.0011144639632565017	4594	MMUT
SYN1	0.005723540694288093	6853	SYN1
PROS1	0.0031509991970614225	5627	PROS1
NOX4	0.0050998039597821825	50507	NOX4
VPS53	0.002309372503551807	55275	VPS53
MFSD6	0.005110332539683723	54842	MFSD6
ALDH8A1	0.003044741999623075	64577	ALDH8A1
DMRT1	0.0013497620481976958	1761	DMRT1
OR51E1	0.0016894640936598042	143503	OR51E1
ISY1	0.00600894809097357	57461	ISY1
BCKDK	0.001625495112506035	10295	BCKDK
TMEM68	0.002359929167338355	137695	TMEM68
VPS50	0.0075509639400439515	55610	VPS50
PLA2G2A	0.006429214514683804	5320	PLA2G2A
NCAM1	0.01140634666882521	4684	NCAM1
HSPA12A	0.004149847902013727	259217	HSPA12A
ZDHHC20	0.0027340765582428705	253832	ZDHHC20
MUC15	0.005403324217743926	143662	MUC15
SLC28A3	0.004489558034412697	64078	SLC28A3
CXorf58	0.0004386006223642462	254158	CXorf58
ADAM12	0.004783137326461814	8038	ADAM12
ACE	0.00767268295860933	1636	ACE
KRT76	0.00042343716333703864	51350	KRT76
CCDC180	0.00602990485502447	100499483	CCDC180
PDX1	0.0032415629206656374	3651	PDX1
C1orf185	0.00020180872937478148	284546	C1orf185
SNRPG	0.001295980449243885	6637	SNRPG
H2AC7	0.0036382184507529713	3013	H2AC7
CRYBG3	0.005897372432329954	131544	CRYBG3
DEFB112	3.9453956326233715e-05	245915	DEFB112
SLC7A4	0.0015341189268533696	6545	SLC7A4
RANBP1	0.003955275198231502	5902	RANBP1
RTN1	0.01694491236080755	6252	RTN1
DAB1	0.0023563184331634895	1600	DAB1
UBXN7	0.001663865502538419	26043	UBXN7
EIF4B	0.0015304425229454765	1975	EIF4B
CAV2	0.006657299638392903	858	CAV2
FRMD6	0.007471927394462667	122786	FRMD6
DGKH	0.0025956829836115787	160851	DGKH
SRARP	0.0009573625687121666	149563	SRARP
CAMKMT	0.0018331568774842685	79823	CAMKMT
ATOX1	0.0024258657468491577	475	ATOX1
TRIM22	0.017385476974866386	10346	TRIM22
IFT80	0.003656050432750918	57560	IFT80
NME3	0.014979933800549345	4832	NME3
WDR20	0.0018129572253117187	91833	WDR20
PTPDC1	0.011564150378787249	138639	PTPDC1
NRG3	0.0026622019401373663	10718	NRG3
IL12RB1	0.008844201844254787	3594	IL12RB1
ATP5MC1	0.008317684033304594	516	ATP5MC1
ZNF106	0.004033369447848573	64397	ZNF106
UGT1A10	0.010089985169308775	54575	UGT1A10
DRG2	0.012405677559916386	1819	DRG2
DNPH1	0.002923213139430578	10591	DNPH1
APPL1	0.00320030699188761	26060	APPL1
UBA6	0.003643592300009946	55236	UBA6
AMD1	0.004721750525518867	262	AMD1
CNTN2	0.0012095941149677287	6900	CNTN2
SMIM10L1	0.0036409435959346525	100129361	SMIM10L1
ASDURF	0.005956945021723111	110599588	ASDURF
KLHL42	0.002457367501590459	57542	KLHL42
SNRPC	0.002585475163767585	6631	SNRPC
OR6T1	0.00020782074698232633	219874	OR6T1
GLT1D1	0.0025872588142908533	144423	GLT1D1
ANKRD55	0.0011615156643724738	79722	ANKRD55
ABCC8	0.0017783420096488404	6833	ABCC8
MANBA	0.0018082799151793894	4126	MANBA
AQP11	0.002277199842583321	282679	AQP11
TMEM217	0.0010275656665147282	221468	TMEM217
SLC36A2	0.0003949134003660647	153201	SLC36A2
LIPE	0.006172559019891685	3991	LIPE
PHAF1	0.0019315934401060856	80262	PHAF1
TMEM47	0.01599202710286476	83604	TMEM47
GAGE12H	0.0018974482811918375	729442	GAGE12H
PANX3	0.0006671712991321554	116337	PANX3
ARHGEF40	0.007354102035727924	55701	ARHGEF40
ZNF816-ZNF321P	0.0012993112543047956	100529240	ZNF816-ZNF321P
ARSD	0.0064988088286079375	414	ARSD
IFNA2	0.0002799737086313017	3440	IFNA2
MSANTD2	0.008993839953450019	79684	MSANTD2
LIMD1	0.0036103469188964654	8994	LIMD1
RDH10	0.0051111297537179325	157506	RDH10
VGF	0.0276623959609382	7425	VGF
MESD	0.00635643683964467	23184	MESD
RAB33A	0.015287125239725181	9363	RAB33A
FGD4	0.010841252639666813	121512	FGD4
ANXA4	0.013463015800968066	307	ANXA4
TLR2	0.009367414442837266	7097	TLR2
BORA	0.013118179535584992	79866	BORA
PTH2R	0.009154952330580425	5746	PTH2R
S1PR1	0.014371719923773547	1901	S1PR1
THAP11	0.0034872847788658323	57215	THAP11
NFKBIB	0.01941492775716608	4793	NFKBIB
ETFB	0.011684203925597474	2109	ETFB
ZBED5	0.0057641302795084	58486	ZBED5
CACNG8	0.0031853223508508236	59283	CACNG8
PLA1A	0.004389084052276474	51365	PLA1A
INPP5F	0.006809808074941612	22876	INPP5F
KISS1R	0.00670348857203801	84634	KISS1R
